source,target,source example,target example,source language,target language,source segment,url,comment
"scia","wake","Guadagneremo sulla scia del caos globale.","Money to be made in the wake of global chaos.","it","en","","",""
"scialbo","dull","È irreprensibilmente onesto e decisamente scialbo.","He's impeccably honest and extremely dull.","it","en","","","bland, drab"
"sciapo","unsalted","Il cosiddetto pane sciapo, unico nel suo genere, è l'ideale connubio con saporiti salumi e formaggi delle terre toscane.","The so-called unsalted bread, unique in its kind, is the ideal combination with savory meats and cheeses of the Tuscan region.","it","en","","",""
"sciocchezza","nonsense","È difficile immaginare una sciocchezza più grossa.","It is difficult to think of a bigger nonsense.","it","en","","","trifle, foolishness"
"sciochezze","rubbish","Tutte sciochezze, tutte sciochezze.","All rubbish, all rubbish.","it","en","","","Nonsense, ..."
"sciolto","dissolved","Nel XIII secolo il principato fu sciolto.","In the 13th century, the principality was dissolved.","it","en","","","melted, loose"
"scivolare","slip","Stia attento a non scivolare sul...","Well, careful, don't slip on the...","it","en","","",""
"scocciante","annoying","Caramella, a volte sei proprio scocciante.","Candy, sometimes you're just annoying.","it","en","","","bothersome, pain in the ass"
"scoglio","rock","32 secondi dalla balena allo scoglio.","32 seconds from the whale to the rock.","it","en","","","cliff, reef"
"scombussolato","upset","Ora, se volete scusarmi, questa salsa mi ha scombussolato lo stomaco e preferirei andare a casa.","Now, if you'll excuse me, this dip has upset my stomach, and I would like to be at home.","it","en","","","disrupted, discombobulated"
"scomparso","disappeared","Purtroppo è scomparso due mesi fa.","Cane disappeared two months ago without a trace.","it","en","","","missing, gone"
"scompigliare","ruffle","Si prova ad esser perfetti ma poi arriva il vento a scompigliare i capelli e le pieghe sulla camicia che è impossibile non sedersi mai.","We are all in serch of perfection but there is always the wind to ruffle the hair and the folds on the shirt that you can not always stay upright.","it","en","","",""
"sconcertato","baffled","Ed è sconcertato dall'idea del perdono.","And he's baffled by the idea of forgiveness.","it","en","","","bewildered, disconcerted"
"sconfinato","boundless","Personaggi grotteschi e pittoreschi ci introducono nel mondo del lusso sconfinato.","Grotesque and picturesque characters introduce the visitors into the world of boundless luxury.","it","en","","","endless, limitless"
"sconfitto","defeated","E mi sentivo sconfitto dal demonio.","And I thought the devil had defeated me.","it","en","","","beat, beaten"
"scongiurare","prevent","Sebbene i succitati requisiti costituiscano un miglioramento, non sono comunque sufficienti a scongiurare le conseguenze potenzialmente nefaste degli agrocombustibili.","Whilst these criteria do represent progress, they are not sufficient to prevent the potentially harmful consequences of biofuels.","it","en","","","avoid, avert"
"sconnessa","bumpy","La pista non era troppo sconnessa.","The track was not too bumpy.","it","en","","","disconnected, disjointed"
"sconnesso","disconnected","Si sente sconnesso dalla sua personalità.","He feels disconnected from his personality.","it","en","","","uneven, bumpy"
"scontato","discounted","Inoltre sarà riconosciuto un ingresso scontato al Planetario.","Furthermore, a discounted entry to the Planetarium will be provide.","it","en","","","obvious, discount"
"scontrare","collide","Devono scontrare bolle dello stesso colore per farli scoppiare.","You must collide bubbles of the same color to pop them.","it","en","","","clash, smash"
"scontrarsi","clash","È proprio qui che i dati e la logica iniziano a scontrarsi.","This is precisely where the data and logic start to clash.","it","en","","","collide, confront"
"scontro","clash","Farlo apparire come uno scontro fra clan.","To make it appear to be a clash between the clans.","it","en","","","fight, confrontation"
"sconvolgere","upset","Avete complottato per sconvolgere la scuola con questo indicibile frastuono.","You have managed to upset the entire school With this godforsaken noise.","it","en","","","disrupt, shock"
"sconvolto","upset","Ok, capisco che sei sconvolto...","Okay, I can see that you're upset.","it","en","","","shocked, distraught"
"scorciatoie","shortcuts","Esistono tastiere che hanno scorciatoie per particolari applicazione già indicate.","There are keyboards that have the shortcuts for a particular application already marked on them.","it","en","","","shortcut, short cuts"
"scorrevole","sliding","Questi ladri sono entrati dalla porta scorrevole sul retro.","These robbers, they came in from the sliding door in the back.","it","en","","","smooth, slide"
"scovare","find","Vediamo quali immoralità riusciamo a scovare.","Let's just stroll, see what wickedness we can find.","it","en","","",""
"scritte a mano","handwritten","Tutte sono state scritte a mano.","All of them have been handwritten.","it","en","","","hand-written, hand written"
"scrittura","writing","Non è molto divertente parlare di scrittura al telefono.","It's not really any fun to talk about writing over the phone.","it","en","","","handwriting, script"
"scrosciare","roar","In sede di studio si procede all'ascolto: tuoni, uno scrosciare violento di pioggia, poi... un suono.","In the study proceeds listening: thunder, a roar of violent rain, then... a sound.","it","en","","","thunder, pour down"
"scrutare","scrutinize","Dobbiamo scrutare l'ordinario per aprirci allo straordinario.","We must scrutinize the ordinary to open ourselves to the extraordinary.","it","en","","",""
"scuotere","shake","Troveremo altri alberi da scuotere domani mattina.","Well, let's find more trees to shake in the morning.","it","en","","",""
"scurire","darken","Antonio non voleva scurire il colore.","Anthony did not want to darken the color.","it","en","","",""
"scurirsi","darken","Poi continuerà leggermente a scurirsi durante i seguenti 15 minuti.","It will then continue to slightly darken over the following 15 minutes.","it","en","","",""
"sdoppiamento","splitting","Esaminiamo adesso come può avvenire il fenomeno dello sdoppiamento programmato.","Let us now examine how the phenomenon of splitting can be programmed.","it","en","","","split, doubling"
"sebbene","although","Stiamo discutendo due questioni diverse, sebbene collegate.","We are discussing two different things, although they are interlinked.","it","en","","","though, while"
"seccante","annoying","Trovo solo seccante essere costretto ad ascoltare idiozie.","I just find being forced to sit through drivel annoying.","it","en","","https://classroom.italki.com/r/3121345678","tiresome, irritating"
"seccare","dry","Attenzione a non farli seccare troppo.","Be careful not to dry them too much.","it","en","","",""
"seducente","seductive","Un settore seducente, ma anche difficile e competitivo.","It's a seductive sector, but also difficult and competitive.","it","en","","","alluring, enticing"
"sedurre","seduce","Praticamente pensava stessi cercando di sedurre suo marito.","Basically, she thinks I was trying - to seduce her husband.","it","en","","","deceive, entice"
"seduta","sitting","Mia madre aspettava papà seduta su quel balconcino.","My mother was waiting for dad sitting on the balcony.","it","en","la seduta","https://classroom.italki.com/r/8111385678","seat, session"
"segnare","score","Basta segnare quattro gol per passare alla fase successiva.","It's enough to score four goals to go to the next stage.","it","en","","","mark, make"
"segnato","marked","Ha segnato sulla mappa tutte le cose interessanti.","He marked all of the interesting things on the map.","it","en","","","scored, scoring"
"segno di spunta","check mark","Avevo visto già in precedenza il segno di spunta.","Look, I had seen that check mark before.","it","en","","","tick, checkmark"
"semianalfabeta","semi-literate","Poiché Vanga era solo semianalfabeta, sue profezie sono state scritte da coloro che vivevano intorno a lei.","Since Vanga was only semi-literate, her prophecies were written down by those around her.","it","en","","","semi-illiterate, semiliterate"
"seminare","sow","Ho ancora avena selvatica da seminare.","I've still got wild oats to sow.","it","en","","https://classroom.italki.com/r/3121345678","plant, seed"
"semmai","if anything","Poi pagherai nell'aldilà e semmai...","Then you will pay in the hereafter, and if anything...","it","en","","","rather, at most"
"sempre più","increasingly","E diventa sempre più difficile scambiarci missive.","And it is increasingly difficult for us to exchange letters.","it","en","","","more and more, ever more"
"sentimentale","sentimental","Ha un valore sentimentale per me.","Happens to have some sentimental value to it.","it","en","","","love, romantic"
"sentimento","feeling","C'era tanto sentimento nelle parole.","There was a lot of feeling in the words.","it","en","","","sentiment, sense"
"sentir parlare","hear about","Nessuno vuol sentir parlare di democrazia agonizzante e disumanizzazione.","Nobody wants to hear about dying democracy and dehumanization.","it","en","","",""
"sentirsi in colpa","feel guilty","Non vuole sentirsi in colpa per il licenziamento di una madre.","You're trying not to feel guilty about firing someone with 3 kids.","it","en","sentirsi in colpa","https://classroom.italki.com/r/9129335678","feel bad, to feel guilty"
"senza la quale","without which","Fornisco la merce... senza la quale non ci sarebbe niente.","I supply the product, without which there would be nothing.","it","en","","","without whom, without it"
"seppellì","buried","A quanto pare il padre seppellì suo figlio in questo contenitore.","Apparently, the father buried his son inside the container.","it","en","","",""
"seppellire","bury","Non abbiamo un confessionale in cui seppellire il passato.","We do not have a confessional box in which to bury the past.","it","en","","","put in the ground, entomb"
"serratura","lock","Finalmente, posso scassinare una serratura.","Finally, I get to pick a lock.","it","en","","","keyhole, latch"
"servire","serve","Devi dirgli cosa significa servire la patria.","You must tell them what it means to serve your fatherland.","it","en","","","service, need"
"sestiere","district","Il torneo cavalleresco della Quintana è una sfida nella quale si cimentano sei cavalieri, ciascuno rappresentate di un sestiere cittadino.","The Quintana Horse Race is a competition among six knights, each one representing a local district.","it","en","","","quarter, neighbourhood"
"setaccio","sieve","Trasferire la sostanza pesata sul setaccio superiore.","Place the sample for analysis on the top sieve.","it","en","","",""
"settentrionale","northern","Almeno sappiamo che siamo nell'emisfero settentrionale.","At least we know we're still in the northern hemisphere.","it","en","","","north, northernmost"
"sfiancante","exhausting","Il fatto che abbia sempre bisogno della mia approvazione è sfiancante.","His need for my approval is exhausting.","it","en","","https://classroom.italki.com/r/2122345678","tiring, back-breaking"
"sfidare","challenge","Cercano di sfidare le autorità dell'istituzione.","They're seeking to challenge the authority of the establishment.","it","en","","","defy, brave"
"sfidarsi","compete","Infinite Fleet è un gioco online di strategia dove gli utenti possono connettersi e sfidarsi nella modalità multiplayer.","Infinite Fleet is an online strategy game where users can connect and compete in multiplayer mode.","it","en","","","challenge each other, battle it out"
"sfigato","loser","È così inaspettatamente piacevole vederti, sfigato.","It's such an unexpected pleasure to see you, loser.","it","en","","https://classroom.italki.com/r/8114385678","nerd, geek"
"sfocato","blurred","Guardò il bestiame, sfocato nell'argentea calura.","He looked at the cattle, blurred in silver heat.","it","en","","",""
"sfogliare","browse","Punti di interesse sono facili da sfogliare e aggiungere al vostro viaggio.","Points of interest are easy to browse and add to your journey.","it","en","","","leaf through, flip through"
"sfondo","background","Erano lettere bianche su sfondo blu.","It was white letters against a blue background.","it","en","","","backdrop, wallpaper"
"sforzo","effort","Voglio dire interiormente, se facessi uno sforzo.","If I made of it really the effort. I want to say, inside.","it","en","","","stress, strain"
"sfuggente","elusive","Magari non è così sfuggente come pensavamo.","He may not be as elusive as we thought.","it","en","","","fleeting, slippery"
"sfuggire","escape","Hai pochissimo tempo per sfuggire al rogo.","You have but little time to escape the flames.","it","en","","","miss, avoid"
"sfumature","shades","Caratteristiche: rosso porpora intenso con sfumature violacee.","Characteristics: an intense vermilion red wine with shades of violet.","it","en","","","nuances, hues"
"sgomentare","neither be dismayed","8:1 Poi l'Eterno disse a Giosuè: Non temere, e non ti sgomentare!","8:1 And Jehovah said to Joshua, Fear not, neither be dismayed.","it","en","","","dismay, be dismayed"
"sgradevole","unpleasant","Il film che guarderete è alquanto sgradevole.","The movie you are about to see is extremely unpleasant.","it","en","","","nasty, uncomfortable"
"sgranchirsi","stretch","Credo che questa sia una buona occasione per uscire e sgranchirsi un po' le gambe se qualcuno ne sente il bisogno.","I guess this is a good chance to get out and stretch if anyone needs to.","it","en","","https://classroom.italki.com/r/3113385678","..."
"sgraziato","awkward","Di questi tempi, la stagione sull'erba è lo sgraziato figliastro del calendario tennistico.","These days, the grass court season is the awkward stepchild of the tennis calendar.","it","en","","",""
"sgualcire","crease","Si prega di non sgualcire la seta.","Please do not crease the silk.","it","en","","","wrinkle, crush"
"sicurezza","security","Sarà il nuovo ufficiale della sicurezza.","She is to be your new security officer.","it","en","","","safety, safe"
"significativo","significant","Questo richiederebbe un investimento finanziario significativo da parte tua.","That would require a significant... financial investment on your part.","it","en","","","meaningful, important"
"silenzio","silence","Ricordo soprattutto il silenzio dopo quegli spari.","Mostly, I remember the silence after the shooting.","it","en","","","quiet, peace"
"sindrome","syndrome","Viene chiamata anche sindrome della classe economica.","It also goes by the name of economy class syndrome.","it","en","","","illness, syndrom"
"sinuosa","sinuous","La silhouette della coppa è elegante e sinuosa.","The silhouette of this cup is both elegant and sinuous.","it","en","","","winding, curvy"
"sistemare","fix","Sarebbe un'altra cosa che vorrebbe sistemare.","It'll just be one more thing she has to fix about me.","it","en","","","arrange, settle"
"slancio","momentum","Non lasceremo che questo slancio vada sprecato.","Katniss, we won't let this momentum go to waste.","it","en","","","impetus, boost"
"sleale","unfair","Ecco perché si chiama un vantaggio sleale.","That's why it's called an unfair advantage.","it","en","","",""
"smaltire","dispose of","Tuttavia, sono ingenti capitali da smaltire.","Nonetheless, they're considerable assets to dispose of.","it","en","","https://classroom.italki.com/r/9129335678","be disposed, work off"
"smania","desire","Non amo il caldo, lo soffro troppo quindi non ho questa smania del sole che brucia la pelle.","I can't bear heat, I suffer too much so I do not have this desire of sun burning the skin.","it","en","","","mania, eagerness"
"smantellare","dismantle","Credo che abbia abbastanza informazioni per smantellare tutta l'organizzazione.","I'm sure you have enough information to dismantle the entire organization.","it","en","","",""
"smarrimento","loss","Segnali immediatamente a UTA lo smarrimento della carta carburante.","Always report the loss of your fuel card to UTA immediately.","it","en","","","bewilderment, confusion"
"smarrito","lost","Arrabbiato, smarrito e cercavo di distruggere tutto.","Angry, lost, and looking to tear things down.","it","en","","","misplaced, missing"
"sminuire","diminish","Sarebbe come sminuire un quadro attribuendogli la cornice sbagliata.","It would be like diminish a painting, by giving to it the wrong frame.","it","en","","","belittle, detract from"
"smisurato","boundless","Il mondo ignora allegramente tutto questo ego smisurato.","The world cheerfully ignores all this boundless ego.","it","en","","","huge, immeasurable"
"smontare","disassemble","Non cercare di smontare la macchina.","Please don't try to disassemble the machine.","it","en","","","dismantle, remove"
"sobrio","sober","Posso rimangiare qualsiasi cosa detta da sobrio...","I might renege on anything I say when I'm sober...","it","en","","","simple, understated"
"soddisfare","meet","Le persone inventano amici immaginari per soddisfare i bisogni emotivi.","Well, people do create imaginary friends to meet their emotional needs.","it","en","","",""
"sodo","hard","Si ricordi che questa gente lavora sodo.","Just remember that these men and women work hard.","it","en","","","firm, hard-boiled"
"soffermarsi","linger","Ci sono posti peggiori su cui soffermarsi.","There are worse places to linger.","it","en","","","dwell, pause"
"soffiare","blow","Ma possono talora soffiare anche con cielo parzialmente coperto.","But sometimes, they can also blow with partially covered skies.","it","en","","","breathe, fan"
"soffrire","suffer","E lasciarmi soffrire, sapendo cosa provi.","And let me suffer, knowing how you feel.","it","en","","","hurt, suffer from"
"soggiogare","subjugate","Per scoprire e soggiogare strani, nuovi mondi.","To discover and subjugate strange new worlds.","it","en","","","subdue, compel"
"soglia","doorway","Non restare sulla soglia, entra.","Don't stand in the doorway, come in.","it","en","","",""
"soglia","threshold","Anzitutto, occorrerebbe stabilire una soglia.","First of all, it is necessary to establish a threshold.","it","en","","","doorstep, limit"
"sognare","dream","Non sappiamo molto del tuo programma per sognare.","You know, there's a lot we don't know about your dream program.","it","en","","","daydream, fantasize"
"sollevato","raised","Tuttavia hai sollevato un problema interessante.","That notwithstanding, you raised an interesting issue.","it","en","","",""
"sollievo","relief","Micro-espressioni di ansia, seguiti da sollievo e orgoglio.","Micro-expressions of anxiety, followed by relief, and then pride.","it","en","","","comfort, solace"
"soltanto","only","Ogni cosa otteniamo è soltanto temporanea.","Anything we get up on is only temporary.","it","en","","","just, merely"
"somigliare","resemble","Hai qualche modello di missionario a cui vorresti somigliare?","Do you have some model of a missionary that you would like to resemble?","it","en","","","look like, be like"
"sono nei guai","I'm in trouble","Lo sono nei guai e tu devi aiutarmi.","I'm in trouble... and I need you to help me.","it","en","","https://classroom.italki.com/r/9129335678","are in trouble, am I in trouble"
"sopportare","bear","Non riuscirei a sopportare il suo corpicino sottoterra.","I couldn't bear the thought of her tiny little body rotting in the ground.","it","en","","https://classroom.italki.com/r/1357326278","withstand, endure"
"sopraffatto","overwhelmed","Restai assolutamente sopraffatto da quel capolavoro.","I was completely overwhelmed by this masterpiece of the time.","it","en","","","overcome, overpowered"
"sordo","deaf","È diventato completamente sordo dopo l'esplosione.","Ever since the bombing, he's legally deaf.","it","en","","",""
"sospeso","suspended","Dà questo momento, sei sospeso.","As of this moment, you are suspended.","it","en","","",""
"sostenere","support","Dovresti sostenere tuo marito in ogni situazione.","You're supposed to support your husband no matter what.","it","en","","","sustain, take"
"sostenuto","supported","Sapevi cosa facevo e l'hai sostenuto.","You knew what I was doing, and you supported it.","it","en","","",""
"sottile","thin","Stiamo cercando un coltello con una lama relativamente sottile.","I mean, we're looking for a knife with a relatively thin blade.","it","en","","",""
"sottoporsi","undergo","Sono lieto di sottoporsi al controllo.","I'd be happy to undergo a check-up.","it","en","","",""
"sovrabbondanza","overabundance","È una caccia necessaria, per la sovrabbondanza di selvaggina.","The hunt is a necessity due to the overabundance of game.","it","en","","",""
"spaccatura","rift","Se entra nella spaccatura causerà un'esplosione temporale.","If he enters the rift like this, that timeship will create a temporal explosion.","it","en","","","split, crack"
"spaesamento","disorientation","Tuttavia la riflessione generata in questo caso supera lo spaesamento dato dalla relazione semiotica tra parola, immagine e rappresentazione.","However, the reflection generated in this case exceeds the disorientation given by semiotic relation between word, image and representation.","it","en","","",""
"spalancare","open","Non aver paura di spalancare la bocca.","Don't be afraid to open your mouth wide open.","it","en","","https://classroom.italki.com/r/7110385678","spread, gape"
"spalancato","opened","E poi... ha spalancato le ali, così.","And then it opened it's wings, like this.","it","en","","","wide open, gaping"
"spalmare","spread","Potete spalmare il formaggio che preferite.","You can spread the kind of cheese you prefer.","it","en","","",""
"sparire","disappear","Fino al momento opportuno sparire dovremo.","Until the time is right, disappear we will.","it","en","","","go away, vanish"
"sparso","spread","Se l'avessi fatto, avrebbero sparso dappertutto delle foto compromettenti.","If I did, they'd spread those dirty photos everywhere.","it","en","","","scattered, shed"
"spavento","fright","Mi ha dato un tale spavento.","You gave me such a fright.","it","en","","",""
"spazzolino da denti","toothbrush","Allora... andrò a prendere il mio spazzolino da denti.","Then... I'll go get my toothbrush.","it","en","","","tooth brush, tooth-brush"
"spensierato","carefree","Un ultimo anno spensierato doveva essere la normalità.","The new normal was supposed to be a carefree senior year.","it","en","","","light-hearted, lighthearted"
"sperduto","lost","Sembrava un cucciolo sperduto per tutto il resto della serata.","He was like a lost puppy dog the rest of the night.","it","en","","","remote, isolated"
"sperimentale","experimental","Leonard è diventato un fisico sperimentale.","Leonard grew up to be an experimental physicist.","it","en","","",""
"spesso","often","Sono categorie considerate spesso come irrecuperabili...","They are groups that are often considered to be beyond redemption...","it","en","","",""
"spettinato","disheveled","Anche l'effetto spettinato andrà benissimo.","The effect disheveled would be fine.","it","en","","",""
"spezzare","break","Dobbiamo spezzare le reni del nostro oppressore.","We need to break the back of our oppressor.","it","en","","",""
"spezzato","broken","Avrà spezzato qualche dito in carriera.","Well, he's probably broken a few fingers in his day.","it","en","","","broke, snapped"
"spezzato","overcame","E ho spezzato la maledizione del compleanno.","Yes, and I overcame the birthday curse.","it","en","","",""
"spiazzante","unsettling","Tutto questo è stato cancellato dalla pandemia con una ferocia spiazzante ed una indescrivibile e fredda crudeltà.","All this has been erased by the pandemic with unsettling ferocity and indescribable and cold cruelty.","it","en","","","surprising, disorienting"
"spiccato","strong","È indice di uno spiccato istinto di conservazione.","That indicates a strong instinct for self-preservation.","it","en","","","keen, marked"
"spicchio","clove","O potresti sbucciare un altro spicchio.","Or you could peel one more clove.","it","en","","","slice, segment"
"spiegazione","explanation","Sono sicuro che aveva una spiegazione.","I'm sure he had an explanation, of course.","it","en","","","explaining, reason"
"spigolo","edge","Splendido spigolo di calcare alle pendici dei monti lepini.","Splendid edge of limestone on the slopes of the lepine mountains.","it","en","","","corner, arête"
"spina","plug","Quindi stanno decidendo se staccarti la spina.","So they're deciding whether to pull the plug on you.","it","en","","","spine, thorn"
"spina dorsale","backbone","Ho la spina dorsale più lunga del normale.","My backbone is longer than it's supposed to be.","it","en","","",""
"spingere","push","Andrebbe bene se iniziasse a spingere.","It would go well if she started to push.","it","en","","","drive, encourage"
"spinoso","thorny","Forse riuscirò a trovare una soluzione a questo problema spinoso.","Perhaps I can divine a solution to this thorny problem.","it","en","","","spiny, prickly"
"spogliare","strip","È venuta a casa tua e ti ha fatto spogliare.","She comes to your house and makes you strip.","it","en","","","undress, divest"
"spogliarsi","undress","Claude avrebbe dovuto spogliarsi dalla sua parte, e poi raggiungerla.","Claude was to undress on his own side.","it","en","","","strip, get undressed"
"sponda","bank","Attraversiamo la sponda opposta del ruscello.","We cross the stream to the opposite bank.","it","en","","","shore, side"
"spopolato","depopulated","Un borgo popoloso allora, ma ormai quasi spopolato.","Once a populous village, but now almost depopulated.","it","en","","",""
"spossata","exhausted","È visibilmente soddisfatta e rilassata e... spossata.","And 'visibly satisfied and relaxed... and exhausted.","it","en","","","worn out, fatigued"
"spostarsi","move","Sembrano determinate a spostarsi solo in quella direzione.","They all seem determined to move in that one direction.","it","en","Del resto, la capitale danese è considerata una delle metropoli più attente alla sostenibilità ambientale al mondo: il suo sistema di trasporto pubblico è completamente elettrico e moltissimi abitanti si spostano perlopiù in bici","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","travel, get around"
"sprecare","waste","Non possiamo sprecare energia per combatterli.","We can't waste power fighting these things.","it","en","","https://classroom.italki.com/r/4358326278","spend, squander"
"spreco","waste","È uno spreco lasciarla inutilizzata per decenni.","What a waste to let it unused for decades.","it","en","","https://classroom.italki.com/r/8111385678","wasting, wastage"
"sprigiona","releases","Al naso sprigiona profumi di croisant, di burro, vaniglia e noce moscata.","The nose releases aromas of croisant, butter, vanilla and nutmeg.","it","en","","","emanates, released"
"sprigionare","release","Basta un dettaglio arancione per sprigionare nuova energia.","It only takes a detail in orange to release new found energy.","it","en","","","unleash, give off"
"sprofondare","sink","Perciò il mondo non può sprofondare.","This is why the world can't sink.","it","en","","","plunge, collapse"
"sprovveduto","naive","L'uomo sul sedile posteriore sono io molti anni fa quando ero più giovane e sprovveduto di adesso.","The man in the back of that taxi is myself, many years ago when I was younger and more naive than I am now.","it","en","","",""
"spunta","check","Avevo visto già in precedenza il segno di spunta.","Look, I had seen that check mark before.","it","en","","","tick, checkmark"
"spunto","inspiration","Avrà preso spunto da questo cartone animato.","It will have taken inspiration from that animated cartoon.","it","en","","","cue, starting point"
"spurio","spurious","Utilizzato in scenari in cui si desidera ridurre al minimo l'abbagliamento spurio.","Used in scenarios where you want to keep spurious glare at a minimum.","it","en","","",""
"squarciagola","top of your lungs","","","it","en","","https://classroom.italki.com/r/3121345678","top of my lungs, top of their lungs"
"squilibrato","unbalanced","È invece un accordo squilibrato che produrrà effetti negativi sull'industria manifatturiera europea.","On the contrary, it is an unbalanced agreement that will have a negative impact on the European manufacturing industry.","it","en","","","deranged, lunatic"
"squillare","ring","E poi quel telefono... rincominciò a squillare.","And then that phone... started to ring again.","it","en","","","blare, sound"
"squisito","exquisite","Ha trasformato la mimetizzazione in uno squisito capolavoro.","He has turned camouflage into an exquisite work of art.","it","en","","","delicious, excellent"
"sradicare","eradicate","Bisogna sradicare tutti i simboli che conducono all'idolo dell'intolleranza.","One has to eradicate every sign, every indication that might lead to the idolatry of intolerance.","it","en","","","uproot, root out"
"sradicate","uprooted","I nostri fuochi non illuminano e le nostre tende sradicate non ci offrono riparo.","Our fires do not light and our uprooted tents offer no protection.","it","en","","","eradicated, rooted out"
"sradicato","uprooted","Sono la tempesta che ha sradicato l'albero.","I am the storm that uprooted the tree.","it","en","","","eradicated, rootless"
"stabilire","establish","Anzitutto, occorrerebbe stabilire una soglia.","First of all, it is necessary to establish a threshold.","it","en","","","determine, set"
"staccare","disconnect","Consigliato a chi vuole staccare dalla routine e rilassarsi.","Recommended for those who want to disconnect from the routine and relax.","it","en","","","detach, unplug"
"staccarsi","break away","Non si può staccarsi dal combattimento aereo spettacolare.","You can not break away from the spectacular aerial combat.","it","en","","","detach, leave"
"stagionato","seasoned","Collegare i fili giusti per creare un bypass elettrico, richiede un professionista stagionato.","Splicing the right wires together to create an electrical bypass takes a seasoned pro.","it","en","","",""
"stampato","printed","Almeno non ha un occhio stampato sulla scheda.","At least it doesn't have an eye printed on the card.","it","en","","","print, stamped"
"stancarsi","get tired","Sta cominciando a stancarsi di me.","He's beginning to get tired of me.","it","en","","","tire, lose heart"
"stare per","stay for","Ha un posto dove stare per l'inverno.","You got a place to stay for the winter.","it","en","","","be on, stand for"
"stecchito","dead","Dopo qualche ora lo ritroviamo stecchito.","He ends up dead a few hours later.","it","en","","https://classroom.italki.com/r/8111385678","croaked, stone-dead"
"stentare","struggle","Mi serve qualcuno con cui posso stentare, posso fallire.","I need someone with whom I can struggle, and fail.","it","en","","",""
"stesura","drafting","Attualmente stiamo lavorando alla stesura della comunicazione.","We are working on drafting the communication at the moment.","it","en","","","writing, draft"
"stimare","estimate","Una cinquantina, abbiamo potuto stimare.","About fifty, as near as we can estimate.","it","en","","","assess, evaluate"
"stipato","crammed","Il cimitero è stipato di guardie.","The graveyard is crammed with security.","it","en","","","packed, stuffed"
"sto per andare","I'm going","Ho bisogno di molte proteine lì dove sto per andare.","I'll need a lot of protein where I'm going.","it","en","","","I'm about to go, I'm on my way"
"stonato","out of tune","Ti piaceva cantare, ma eri terribilmente stonato.","You liked to sing, but you were out of tune.","it","en","","","off-key, stoned"
"stordire","stun","In queste casse c'è dinamite sufficiente solo a stordire qualsiasi cosa sotto la superficie.","There's just enough dynamite in these cans... to stun anything below the surface.","it","en","","",""
"stordito","stunned","Il tizio colpito dall'esplosione sarà solo stordito.","The guy we hit with the explosion is probably only just stunned.","it","en","","","dizzy, dazed"
"straccio","rag","Accendino, straccio, espressione comprensiva.","Got my lighter, my rag, my empathy face.","it","en","","https://classroom.italki.com/r/7643320968","cloth, shred"
"stradina","street","È possibile evitare la stradina iniziale di dubbia percorribilità.","It's possible to avoid the initial street of dubious practicability.","it","en","","","narrow road, lane"
"stradine","narrow streets","Potrete facilmente visitare pittoresche stradine ricche di incantevoli negozi e ristoranti.","Guests can easily explore picturesque narrow streets packed with charming shops and restaurant.","it","en","","",""
"stramazzare","breaks","L'età fa' stramazzare le persone...","You know, age breaks people down...","it","en","","",""
"strampalato","odd","Non ricerca dunque l'abbinamento strampalato, non avrebbe un senso logico pertinente alla materia prima, già di grande valore e aromaticità.","He is not looking odd pairings; it would not make sense because the raw material has already great value and aroma.","it","en","","",""
"stranezza","strangeness","Parte di questa ""stranezza"" proviene dall'assenza di un bassista.","Part of the strangeness comes from their lack of a bass player.","it","en","","",""
"straniamento","estrangement","Malgrado il continuo straniamento il pubblico è catturato dall'illusione.","In spite of its constant estrangement, the public is seized by illusion.","it","en","","","alienation, ..."
"strapieno","packed","Quando siamo finalmentearrivati, il posto era strapieno.","When we finally made it in, the place was packed.","it","en","","","full, chock-full"
"strappare","tear","Non vorrei dovertela strappare dalla bocca.","I would so hate to tear it from your mouth.","it","en","","","rip, snatch"
"strappato","ripped","Ha strappato la manica dalla giacca.","He ripped the sleeve right off the jacket.","it","en","","","torn, snatched"
"stregare","bewitch","Adoro ridere e divertirmi, stregare... affascinare e scegliere anche uomini di prima esperienza e consapevoli che il corpo vuole altro e funziona in modo splendido se messo nelle condizioni di farlo...","I love to laugh and have fun, bewitch... fascinate and also choose men of first experience and aware that the body wants something else and works splendidly if put in the condition to do it...","it","en","","",""
"stregare","bewitch","E con molta voglia di lasciarsi stregare.","And with a lot of desire to let bewitch.","it","en","","","enchant, enthrall"
"stressante","stressful","È la festa più stressante dell'anno.","It's the most stressful holiday of the year.","it","en","","","stressing, distressing"
"strettamente","closely","I reperti sono strettamente associati alla commemorazione del battesimo.","The finds are closely associated with the commemoration of the baptism.","it","en","","","strictly, tightly"
"stretto","close","Marito e moglie ebbero un rapporto stretto.","Husband and wife would soon have a close relationship.","it","en","","","narrow, tight"
"struggente","poignant","Lodarono inoltre la ""struggente e commovente"" scena finale.","They also praised the ""poignant and moving"" final scene.","it","en","","","moving, heartbreaking"
"stucchevole","cloying","Vino di una piacevolezza infinita, mai stucchevole, sorso pieno e appagante.","A wine of infinite pleasure, never cloying, full and satisfying.","it","en","","","sickly, nauseating"
"stufo","sick","Sono stufo marcio di questa situazione.","I'm sick and tired of the whole business.","it","en","","","tired, fed up"
